start,end,eventtype,operationtype,time,ref.size
C:\Program Files\Mozilla Firefox\api-ms-win-crt-multibyte-l1-1-0.dll,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:07.975,65536
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\social-tracking-protection-facebook-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:08.965,453
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google4\goog-malware-proto.metadata,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:09.365,71
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++0c3666b5-67b1-4855-b50d-d5fbfc0d2874^userContextId=4294967295\.metadata-v2,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:09.590,512
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google-trackwhite-digest256.sbstore,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:09.363,46359
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\extension-settings.json,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:08.327,284
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",117.18.237.29,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:15.420,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",117.18.237.29,IpChannelEvent,TcpIpDisconnect,2021-10-09 16:24:21.525,0
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\1451318868ntouromlalnodry--epcr.sqlite,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:08.297,37064
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google-trackwhite-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:08.957,3014656
C:\Users\jpdz\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\Firefox.lnk,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:09.124,4096
C:\Program Files\desktop.ini,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:09.126,176
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880","""C:\Program Files\Mozilla Firefox\firefox.exe"" -contentproc --channel=""1880.5.1204817806\785945884"" -parentBuildID 20210927210923 -prefsHandle 3416 -prefMapHandle 3412 -prefsLen 9838 -prefMapSize 252743 -appdir ""C:\Program Files\Mozilla Firefox\browser"" - 1880 ""\\.\pipe\gecko-crash-server-pipe.1880"" 3432 d2af8e8 rdd
PID:4060",ProcessEvent,Create,2021-10-09 16:24:09.791,
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++7b7c287d-b9ee-4c40-99c0-63c5bd847cee^userContextId=4294967295\idb\3647222921wleabcEoxlt-eengsairo.sqlite-shm,FileEvent,Delete,2021-10-09 16:24:18.90,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\default\moz-extension+++7b7c287d-b9ee-4c40-99c0-63c5bd847cee^userContextId=4294967295\idb\3647222921wleabcEoxlt-eengsairo.sqlite-shm,FileEvent,Delete,2021-10-09 16:24:29.804,0
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\base-cryptomining-track-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:08.956,2277
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\.metadata-v2,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:08.294,512
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\analytics-track-digest256.sbstore,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:09.362,559
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\2823318777ntouromlalnodry--naod.sqlite-shm,FileEvent,Delete,2021-10-09 16:24:09.177,0
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\2823318777ntouromlalnodry--naod.sqlite-shm,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:09.177,65536
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\2823318777ntouromlalnodry--naod.sqlite-shm,FileEvent,Delete,2021-10-09 16:24:21.128,0
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\ls-archive.sqlite,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:08.293,65684
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",34.107.221.82,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:09.294,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",34.107.221.82,IpChannelEvent,TcpIpDisconnect,2021-10-09 16:24:09.334,0
34.107.221.82,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:09.334,220
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",34.107.221.82,IpChannelEvent,TcpIpSend,2021-10-09 16:24:09.322,335
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\places.sqlite-wal,FileEvent,Write,2021-10-09 16:24:08.497,69712
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\ads-track-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:08.956,55877
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\analytics-track-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:08.956,10021
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\prefs.js,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:08.51,20224
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\sessionCheckpoints.json.tmp,FileEvent,Write,2021-10-09 16:24:08.186,143
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\allow-flashallow-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:08.956,69
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\cookies.sqlite-shm,FileEvent,Delete,2021-10-09 16:24:08.194,0
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\cookies.sqlite-shm,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:08.193,65536
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\UZJXBB~1.DEF\cert9.db,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:08.352,134004
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\places.sqlite,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:08.492,360648
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\1451318868ntouromlalnodry--epcr.sqlite-wal,FileEvent,Delete,2021-10-09 16:24:08.298,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\1451318868ntouromlalnodry--epcr.sqlite-wal,FileEvent,Delete,2021-10-09 16:24:21.129,0
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\containers.json,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:09.99,939
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",C:\ProgramData\Mozilla\updates\308046B0AF4A39CB\update.test,FileEvent,Delete,2021-10-09 16:24:09.259,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\1451318868ntouromlalnodry--epcr.sqlite-shm,FileEvent,Delete,2021-10-09 16:24:08.298,0
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\1451318868ntouromlalnodry--epcr.sqlite-shm,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:08.298,65536
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\1451318868ntouromlalnodry--epcr.sqlite-shm,FileEvent,Delete,2021-10-09 16:24:21.129,0
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\favicons.sqlite,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:08.494,360648
C:\Program Files\Mozilla Firefox\api-ms-win-crt-time-l1-1-0.dll,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:07.975,65536
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\mozstd-trackwhite-digest256.sbstore,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:09.363,9969
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Crash Reports\InstallTime20210927210923,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:08.33,10
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\cache2\entries\80D04D0E73898B1B2F8EB03A3BF7F3BF25FF93AB,FileEvent,Write,2021-10-09 16:24:09.667,2873
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\block-flashsubdoc-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:08.957,262144
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage.sqlite,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:08.293,5300
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\activity-stream.discovery_stream.json.tmp,FileEvent,Write,2021-10-09 16:24:09.32,61086
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\3561288849sdhlie.sqlite-shm,FileEvent,Delete,2021-10-09 16:24:09.61,0
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\3561288849sdhlie.sqlite-shm,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:09.61,65536
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\3561288849sdhlie.sqlite-shm,FileEvent,Delete,2021-10-09 16:24:21.130,0
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\gmp-widevinecdm\4.10.2209.1\manifest.json,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:08.420,373
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\extension-settings.json.tmp,FileEvent,Write,2021-10-09 16:24:09.858,284
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",151.101.78.2,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:11.954,0
151.101.78.2,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:12.25,1662460
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",151.101.78.2,IpChannelEvent,TcpIpSend,2021-10-09 16:24:12.25,4249
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\SiteSecurityServiceState.txt,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:08.354,433
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",52.212.161.198,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:16.504,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",52.212.161.198,IpChannelEvent,TcpIpDisconnect,2021-10-09 16:24:22.938,0
52.212.161.198,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:16.806,5778
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",52.212.161.198,IpChannelEvent,TcpIpSend,2021-10-09 16:24:16.559,1423
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\addons.json,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:09.296,1022
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",151.101.194.2,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:09.239,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",151.101.194.2,IpChannelEvent,TcpIpSend,2021-10-09 16:24:09.287,610
151.101.194.2,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:09.329,4786
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",151.101.194.2,IpChannelEvent,TcpIpDisconnect,2021-10-09 16:24:11.601,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",151.101.194.2,IpChannelEvent,TcpIpSend,2021-10-09 16:24:11.564,31
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\ads-track-digest256.sbstore,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:09.362,2019
C:\Program Files\Mozilla Firefox\api-ms-win-crt-filesystem-l1-1-0.dll,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:07.975,65536
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",117.18.237.29,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:15.351,0
117.18.237.29,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:15.414,1597
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",117.18.237.29,IpChannelEvent,TcpIpSend,2021-10-09 16:24:15.414,912
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\2918063365piupsah.sqlite-wal,FileEvent,Delete,2021-10-09 16:24:09.102,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\2918063365piupsah.sqlite-wal,FileEvent,Delete,2021-10-09 16:24:22.530,0
C:\Users\jpdz\AppData\Roaming\Microsoft\Network\Connections\Pbk\_hiddenPbk\rasphone.pbk,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:08.391,2048
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\social-track-digest256.sbstore,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:09.363,309
C:\Program Files\Mozilla Firefox\api-ms-win-crt-environment-l1-1-0.dll,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:07.975,65536
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\datareporting\glean\db\data.safe.bin,FileEvent,Write,2021-10-09 16:24:09.233,52196
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\datareporting\glean\db\data.safe.bin,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:09.233,2579
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\2918063365piupsah.sqlite,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:09.100,41160
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880","""C:\Program Files\Mozilla Firefox\firefox.exe"" -contentproc --channel=""1880.8.674297667\868447599"" -childID 3 -isForBrowser -prefsHandle 3616 -prefMapHandle 3612 -prefsLen 9838 -prefMapSize 252743 -jsInit 852 286204 -parentBuildID 20210927210923 -appdir ""C:\Program Files\Mozilla Firefox\browser"" - 1880 ""\\.\pipe\gecko-crash-server-pipe.1880"" 3628 d25c108 tab
PID:2868",ProcessEvent,Create,2021-10-09 16:24:10.46,
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\profiles.ini,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:08.34,305
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\except-flash-digest256.sbstore,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:09.363,240
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\except-flash-digest256.vlpset,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:08.957,101
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",115.157.63.19,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:15.315,0
115.157.63.19,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:15.346,14233
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",115.157.63.19,IpChannelEvent,TcpIpSend,2021-10-09 16:24:15.346,1187
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\google4\goog-downloadwhite-proto.metadata,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:09.365,69
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\3870112724rsegmnoittet-es.sqlite-wal,FileEvent,Delete,2021-10-09 16:24:08.297,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\1657114595AmcateirvtiSty.sqlite-shm,FileEvent,Delete,2021-10-09 16:24:09.0,0
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\1657114595AmcateirvtiSty.sqlite-shm,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:09.0,65536
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\storage\permanent\chrome\idb\1657114595AmcateirvtiSty.sqlite-shm,FileEvent,Delete,2021-10-09 16:24:21.802,0
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\safebrowsing\social-tracking-protection-facebook-digest256.sbstore,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:09.363,256
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",34.107.221.82,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:09.184,0
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",34.107.221.82,IpChannelEvent,TcpIpSend,2021-10-09 16:24:09.226,999
34.107.221.82,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:09.226,906
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",34.107.221.82,IpChannelEvent,TcpIpSend,2021-10-09 16:24:11.604,333
34.107.221.82,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:11.604,302
C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\cache2\entries\3B2DB0CC02AD1DD0C4C39368E12A8E60370437C4,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:09.278,10113
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",C:\Users\jpdz\AppData\Local\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\cache2\entries\3B2DB0CC02AD1DD0C4C39368E12A8E60370437C4,FileEvent,Write,2021-10-09 16:24:09.280,19566
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\gmp-gmpopenh264\1.8.1.1\gmpopenh264.info,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:08.420,116
C:\Users\jpdz\AppData\Roaming\Mozilla\Firefox\Profiles\uzjxbbj5.default-release\broadcast-listeners.json,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:09.174,216
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",121.194.10.91,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:09.449,0
121.194.10.91,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:09.666,647
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",121.194.10.91,IpChannelEvent,TcpIpSend,2021-10-09 16:24:09.540,366
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",125.76.247.238,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:18.417,0
125.76.247.238,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",IpChannelEvent,TcpIpRecv,2021-10-09 16:24:18.445,2195
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",125.76.247.238,IpChannelEvent,TcpIpSend,2021-10-09 16:24:18.445,478
C:\Program Files\Mozilla Firefox\api-ms-win-crt-string-l1-1-0.dll,"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",FileEvent,Read,2021-10-09 16:24:07.975,65536
"""C:\Program Files\Mozilla Firefox\firefox.exe"" jimdo.com
PID:1880",115.157.63.19,IpChannelEvent,TcpIpConnect,2021-10-09 16:24:08.558,0
